营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
,,安庆市,113.0,,,,,
,,池州市,214.0,,,,,
,,滁州市,808.0,,,,,
,,合肥市,1282.0,安徽连,181.0,13%,3人,550
,,黄山市,26.0,,,,,
,,马鞍山市,167.0,,,,,
,,铜陵市,129.0,,,,,
,,芜湖市,363.0,,,,,
,,宣城市,278.0,,,,,
,,抚州市,514.0,,,,,
,,赣州市,494.0,,,,,
,,吉安市,572.0,,,,,
,,景德镇市,456.0,,,,,
,,九江市,658.0,,,,,
,,南昌市,501.0,,,,,
,,萍乡市,460.0,,,,,
,,上饶市,231.0,,,,,
,,新余市,642.0,,,,,
,,宜春市,2990.0,江西连,291.0,15%,4人,1550
,,鹰潭市,137.0,,,,,
,,常德市,304.0,,,,,
,,鄂州市,25.0,,,,,
,,恩施土家族苗族自治州,138.0,,,,,
,,黄冈市,242.0,,,,,
,,黄石市,143.0,,,,,
,,荆门市,221.0,,,,,
,,荆州市,270.0,荆州连,457.0,22%,5人,1000
,,潜江市,0.0,,,,,
,,省直辖县级行政区划,204.0,,,,,
,,天门市,0.0,,,,,
,,武汉市,2601.0,,,,,
,,仙桃市,0.0,,,,,
,,咸宁市,230.0,,,,,
,,孝感市,131.0,,,,,
,,宜昌市,370.0,,,,,
,,益阳市,269.0,,,,,
,,岳阳市,150.0,,,,,
,,张家界市,38.0,,,,,
,,巴中市,154.0,,,,,
,,达州市,757.0,,,,,
,,广安市,189.0,,,,,
,,重庆市,2654.0,重庆加强连,159.0,10%,5人,500
,,安顺市,140.0,,,,,
,,毕节市,1316.0,,,,,
,,贵阳市,842.0,,,,,
,,六盘水市,508.0,,,,,
,,泸州市,580.0,白酒连,132.0,7%,5人,700
,,内江市,773.0,,,,,
,,黔东南苗族侗族自治州,42.0,,,,,
,,黔南布依族苗族自治州,207.0,,,,,
,,黔西南布依族苗族自治州,383.0,,,,,
,,铜仁市,13.0,,,,,
,,宜宾市,686.0,,,,,
,,昭通市,86.0,,,,,
,,自贡市,247.0,,,,,
,,遵义市,451.0,,,,,
,,阿坝藏族羌族自治州,54.0,,,,,
,,成都市,4050.0,成都连,294.0,8%,7人,1414
,,德阳市,529.0,,,,,
,,甘孜藏族自治州,2.0,,,,,
,,广元市,341.0,,,,,
,,汉中市,128.0,,,,,
,,乐山市,1496.0,,,,,
,,眉山市,296.0,,,,,
,,绵阳市,1228.0,,,,,
,,南充市,334.0,,,,,
,,遂宁市,384.0,,,,,
,,雅安市,725.0,,,,,
,,资阳市,81.0,,,,,
,,百色市,633.0,,,,,
,,北海市,611.0,,,,,
,,崇左市,708.0,,,,,
,,防城港市,554.0,,,,,
,,贵港市,1037.0,,,,,
,,桂林市,211.0,,,,,
,,河池市,233.0,,,,,
,,贺州市,532.0,,,,,
,,来宾市,235.0,,,,,
,,柳州市,845.0,,,,,
,,南宁市,1770.0,广西加强连,456.0,15%,7人,2100
,,钦州市,1314.0,,,,,
,,文山壮族苗族自治州,229.0,,,,,
,,梧州市,703.0,,,,,
,,玉林市,1084.0,,,,,
,,保山市,253.0,,,,,
,,楚雄彝族自治州,301.0,,,,,
,,大理白族自治州,139.0,,,,,
,,德宏傣族景颇族自治州,22.0,,,,,
,,迪庆藏族自治州,3.0,,,,,
,,红河哈尼族彝族自治州,238.0,,,,,
,,昆明市,702.0,烟草连,323.0,22%,5人,1000
,,丽江市,19.0,,,,,
,,凉山彝族自治州,269.0,,,,,
,,临沧市,13.0,,,,,
,,怒江傈僳族自治州,1.0,,,,,
,,攀枝花市,558.0,,,,,
,,普洱市,117.0,,,,,
,,曲靖市,660.0,,,,,
,,西双版纳傣族自治州,40.0,,,,,
,,玉溪市,497.0,,,,,
,,潮州市,2.0,,,,,
,,郴州市,667.0,,,,,
,,儋州市,138.0,,,,,
,,东方市,0.0,,,,,
,,东莞市,101.0,粤湘连,521.0,18%,8人,2186
,,佛山市,649.0,,,,,
,,广州市,300.0,,,,,
,,海口市,137.0,,,,,
,,河源市,238.0,,,,,
,,衡阳市,451.0,,,,,
,,怀化市,149.0,,,,,
,,惠州市,393.0,,,,,
,,江门市,297.0,,,,,
,,揭阳市,87.0,,,,,
,,娄底市,700.0,,,,,
,,茂名市,311.0,,,,,
,,梅州市,886.0,,,,,
,,清远市,565.0,,,,,
,,琼海市,0.0,,,,,
,,三亚市,21.0,,,,,
,,汕头市,50.0,,,,,
,,汕尾市,17.0,,,,,
,,韶关市,370.0,,,,,
,,邵阳市,197.0,,,,,
,,深圳市,409.0,广深厦漳连,923.0,42%,10人,3200
,,省直辖县级行政区划,61.0,,,,,
,,万宁市,0.0,,,,,
,,文昌市,0.0,,,,,
,,湘潭市,183.0,,,,,
,,湘西土家族苗族自治州,47.0,,,,,
,,阳江市,386.0,,,,,
,,永州市,293.0,,,,,
,,云浮市,1039.0,,,,,
,,湛江市,359.0,,,,,
,,长沙市,838.0,,,,,
,,肇庆市,145.0,,,,,
,,中山市,49.0,,,,,
,,珠海市,117.0,,,,,
,,株洲市,185.0,,,,,
,,越南,0.0,河内连,1360.0,,8人,4687
